見出し,表記
いきあう,行き合う
いきあたり,行き当たり
いきあたりばったり,行き当たりばったり
いきあたる,行き当たる
いきいき,生き生き・△活き△活き
いきうつし,生き写し
いきうめ,生き埋め
いきおい,勢い
いきがい,生き△甲×斐
いきかえり,行き帰り
いきかえる,生き返る
いきかかる,行き掛かる
いきがけ,行き掛け
いきかける,行き掛ける
いきぎれ,息切れ
いきぐるしい,息苦しい
いきごみ,意気込み
いきごむ,意気込む
いきさつ,〈経緯〉
いきすぎ,行き過ぎ
いきすぎる,行き過ぎる
いきだおれ,行き倒れ
いきち,生き血
いきちがい,行き違い
いきちがう,行き違う
いきづまり,行き詰まり
いきづまる,行き詰まる
いきどおり,憤り
いきどおる,憤る
いきとどく,行き届く
いきどまり,行き止まり
いきながらえる,生き長らえる
いきなやみ,行き悩み
いきなやむ,行き悩む
いきなり,
いきぬき,息抜き
いきのこり,生き残り
いきのこる,生き残る
いきのびる,生き延びる
いきまく,息巻く
いきみち,行き道
いきもの,生き物
いきょう,異郷
いきょう,異境
いぎょう,偉業
いぎょう,遺業
イギリス,〔葡〕Ingle´s
いきりたつ,△熱りたつ
いきる,生きる・△活きる
いきれ,
いきわかれ,生き別れ
いきわかれ,行き別れ
いきわかれる,生き別れる
いきわたる,行き渡る
いく,行く
いく,幾
いくえ,幾重
いくえい,育英
いくえにも,幾重にも
いくさ,戦
いくじ,育児
いくじ,《意気地》
いくせい,育成
いくた,幾多
いくたび,幾度
いくつ,幾つ
いくど,幾度
いくどうおん,異口同音
いくとせ,幾△年
いくにち,幾日
いくぶん,幾分
いくら,幾ら
いくらか,幾らか
いくん,遺勲
いくん,偉勲
いけ,池
いけがき,生け垣・生け×籬
いけす,生け×簀
いけどり,生け捕り
いけどる,生け捕る
いけない,
いけにえ,生け×贄
いけばな,生け花・△活け花
いける,生ける・△活ける・△埋ける
いける,生ける
いけん,意見
いげん,威厳
いご,以後
いご,囲碁
いこい,憩い
いこう,憩う
いこう,以降
いこう,威光
いこう,移行
いこう,意向・意×嚮
イコール,equal
いこく,異国
いごこち,居心地
いこじ,依×怙地・意固地
いこつ,遺骨
いこん,遺恨
いざ,
いさい,委細
いさい,異彩
いさい,偉才・異才
いさお,△勲・△功
いさかい,×諍
いさぎよい,潔い
いざこざ,
いささか,×些か・×聊か
いざない,△誘い
いざなう,△誘う
いさましい,勇ましい
いさむ,勇む
いさめ,×諌め
いさめる,×諌める
いさり,△漁り
いざり,×躄
いさりび,△漁火
いざる,×躄る
いさん,胃散
いさん,胃酸
いさん,遺産
いし,石
いし,医師
いし,意志
いし,遺志
いし,×縊死
